EN.BIR.THRD.NO,EN.FSH.THRD.NO,EN.HPT.THRD.NO,EN.MAM.THRD.NO,IQ.SCI.MTHD,IQ.SCI.OVRL,IQ.SCI.PRDC,IQ.SCI.SRCE,SG.GEN.PARL.ZS
50.0,39.0,70.0,37.0,90.0,88.8889,86.6667,90.0,35.8
55.0,8.0,104.0,21.0,50.0,68.8889,76.6667,80.0,53.1
165.0,86.0,521.0,81.0,90.0,76.6666666666667,80.0,60.0,9.9
33.0,25.0,72.0,19.0,90.0,95.5555666666667,96.6667,100.0,15.8
119.0,96.0,257.0,54.0,90.0,88.8889,96.6667,80.0,19.9
23.0,60.0,140.0,10.0,80.0,84.4444333333333,93.3333,80.0,33.3
17.0,44.0,179.0,12.0,0,0,0,0,48.9
98.0,59.0,1856.0,45.0,80.0,71.1111333333333,93.3334,40.0,41.6
14.0,35.0,102.0,15.0,40.0,71.1111,93.3333,80.0,13.9
14.0,31.0,26.0,11.0,50.0,57.7778,83.3334,40.0,30.4
61.0,179.0,402.0,96.0,100.0,98.8889,96.6667,100.0,42.4
22.0,54.0,208.0,16.0,50.0,73.3333666666667,90.0001,80.0,18.3
120.0,50.0,326.0,53.0,100.0,93.3333333333333,100.0,80.0,22.3
27.0,0.0,19.0,10.0,40.0,70.0000333333333,90.0001,80.0,15.0
9.0,30.0,27.0,9.0,50.0,65.5555666666667,76.6667,70.0,25.5
22.0,40.0,22.0,10.0,80.0,88.8888666666667,86.6666,100.0,16.2
44.0,43.0,82.0,35.0,70.0,82.2222333333333,96.6667,80.0,14.4
