"INDICATOR_CODE","INDICATOR_NAME","SOURCE_NOTE","SOURCE_ORGANIZATION",
"AG.AGR.TRAC.NO","农业机械，拖拉机","农业机械指在指定日历年年末或下年第一季度期间农业生产中使用的轮胎式和履带式拖拉机（园艺拖拉机除外）的数量。","联合国粮农组织，电子文件和网站。",
"AG.CON.FERT.PT.ZS","化肥消费量（占化肥产量的百分比）","化肥消费量衡量每单位耕地所使用的植物营养素数量。化肥产品包括氮肥、钾肥和磷肥（包括磷矿粉肥）。传统营养素（动物性肥料和植物性肥料）不包括。出于数据传播考虑，联合国粮农组织 (FAO) 采用了日历年的概念（1月至 12月）。有些国家按照日历年编制化肥数据，而另一些国家则编制跨年数据。","联合国粮农组织，电子文件和网站。",
"AG.CON.FERT.ZS","化肥消费量（每公顷耕地千克数）","化肥消费量（每公顷耕地 100 克）衡量每单位耕地使用的植物营养素数量。化肥产品包括氮肥、钾肥和磷肥（包括磷矿粉肥）。传统营养素（动物性肥料和植物性肥料）不包括。出于数据传播考虑，联合国粮农组织 (FAO) 采用了日历年的概念（1月至 12月）。有些国家按照日历年编制化肥数据，而另一些国家则编制跨年数据。联合国粮农组织 定义的耕地包括短期作物用地（种植双季作物的土地只计算一次）、供割草或放牧的短期草场、供应市场的菜园和自用菜园，以及暂时休闲的土地。因转换耕作方式而休闲的土地不包括在内。","联合国粮农组织，电子文件和网站。",
"AG.LND.AGRI.K2","农业用地面积（平方公里）","农业用地指耕地、永久性作物和永久性牧场用地的比例。联合国粮农组织 定义的耕地包括短期作物用地（种植双季作物的土地只计算一次）、供割草或放牧的短期草场、供应市场的菜园和自用菜园，以及暂时休闲的土地。因转换耕作方式而休闲的土地不包括在内。多年生作物用地是种有长期生长作物而无需在每次收割后再进行种植的土地，此类作物包括可可树、咖啡树和橡胶树。此类土地包括生长开花灌木、果树、坚果树和葡萄树的土地，但不包括木材林用地。多年生牧场是五年以上生长饲草（包括野生饲草和人工种植饲草）的土地。","联合国粮农组织，电子文件和网站。",
"AG.LND.AGRI.ZS","农业用地（占土地面积的百分比）","农业用地指耕地、永久性作物和永久性牧场用地的比例。联合国粮农组织 定义的耕地包括短期作物用地（种植双季作物的土地只计算一次）、供割草或放牧的短期草场、供应市场的菜园和自用菜园，以及暂时休闲的土地。因转换耕作方式而休闲的土地不包括在内。多年生作物用地是种有长期生长作物而无需在每次收割后再进行种植的土地，此类作物包括可可树、咖啡树和橡胶树。此类土地包括生长开花灌木、果树、坚果树和葡萄树的土地，但不包括木材林用地。多年生牧场是五年以上生长饲草（包括野生饲草和人工种植饲草）的土地。","联合国粮农组织，电子文件和网站。",
"AG.LND.ARBL.HA","耕地（公顷数）","联合国粮农组织 定义的耕地（以公顷计）包括短期作物用地（双季作物土地仅计算一次）、供割草或放牧的短期草场、供应市场的菜园和自用菜园，以及暂时闲置的土地。因转换耕作方式而休闲的土地不包括在内。","联合国粮农组织，电子文件和网站。",
"AG.LND.ARBL.HA.PC","耕地（人均公顷数）","耕地（人均公顷数）包括联合国粮农组织 定义为用于种植短期作物（种植双季作物的土地只计算一次）、供割草或放牧的短期草场、供应市场的菜园和自用菜园的土地，以及暂时闲置的土地。因转换耕作方式而休闲的土地不包括在内。","联合国粮农组织，电子文件和网站。",
"AG.LND.ARBL.ZS","耕地（占土地面积的百分比）","联合国粮农组织 定义的耕地包括短期作物用地（种植双季作物的土地只计算一次）、供割草或放牧的短期草场、供应市场的菜园和自用菜园，以及暂时休闲的土地。因转换耕作方式而休闲的土地不包括在内。","联合国粮农组织，电子文件和网站。",
"AG.LND.CREL.HA","谷物耕地（公顷）","谷物耕地面积是指收获面积，不过有些国家只公布播种或耕作面积。谷物包括小麦、水稻、玉米、大麦、燕麦、黑麦、小米、高粱、荞麦、杂粮。谷类生产数据与收获后仅用作干燥谷物的作物相关。收获后用作干草或未成熟时收割用作食物、饲料或青贮饲料或作牧草用的谷类作物除外。","联合国粮农组织，电子文件和网站。",
"AG.LND.CROP.ZS","永久性作物用地（占土地的百分比）","永久性作物用地是种植作物的土地，它长期占用土地，不需要在每个收获期之后再重新种植，如可可、咖啡和橡胶。此类土地包括生长开花灌木、果树、坚果树和葡萄树的土地，但不包括木材林用地。","联合国粮农组织，电子文件和网站。",
"AG.LND.EL5M.RU.K2","Rural land area where elevation is below 5 meters (sq. km)","Rural land area below 5m is the total rural land area in square kilometers where the elevation is 5 meters or less.","Center for International Earth Science Information Network (CIESIN)/Columbia University. 2013. Urban-Rural Population and Land Area Estimates Version 2. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). http://sedac.ciesin.columbia.edu/data/set/lecz-urban-rural-population-land-area-estimates-v2.",
